RESULT_COUNT: 3439,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
,,,Cancer Treatment Update: Second Gene Therapy Receives Approval,2017-10-21 00:01:02 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/DzHrcKxwe3M/cancer-treatment-update-second-gene-therapy-receives-approval-cm863009,With the approval of Gilead Sciences Inc s GILD Yescarta this week saw the approval of the second CAR T therapy for treating cancer It is regarded as one of the most advanced immune oncology treatment options Moreover the FDA has granted priority review to label expansion applications
MRK,MRK:US,BBG000BPD168,Cancer Treatment Update: Second Gene Therapy Receives Approval,2017-10-21 00:01:02 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/DzHrcKxwe3M/cancer-treatment-update-second-gene-therapy-receives-approval-cm863009,With the approval of Gilead Sciences Inc s GILD Yescarta this week saw the approval of the second CAR T therapy for treating cancer It is regarded as one of the most advanced immune oncology treatment options Moreover the FDA has granted priority review to label expansion applications
MRK,MRK:US,BBG000BPD168,Celgene Down on Discontinued Crohn's Disease Drug Study,2017-10-21 00:00:06 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/D2f5qbTCiFg/celgene-down-on-discontinued-crohns-disease-drug-study-cm863006,Shares of Celgene Corporation CELG declined after the company announced that a phase III trial REVOLVE CD 002 on pipeline candidate GED 0301 in Crohn s disease and the extension trial SUSTAIN CD 004 will be discontinued Celgene s stock has moved up 84 2 year to date
,,,Celgene Down on Discontinued Crohn's Disease Drug Study,2017-10-21 00:00:06 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/D2f5qbTCiFg/celgene-down-on-discontinued-crohns-disease-drug-study-cm863006,Shares of Celgene Corporation CELG declined after the company announced that a phase III trial REVOLVE CD 002 on pipeline candidate GED 0301 in Crohn s disease and the extension trial SUSTAIN CD 004 will be discontinued Celgene s stock has moved up 84 2 year to date
,,,Roche (RHHBY) Reports Sales Numbers for First 9 Months,2017-10-20 23:59:23 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8nW7N42diis/roche-rhhby-reports-sales-numbers-for-first-9-months-cm863000,Roche Holding AG s RHHBY reported sales of CHF39 4 billion in the first nine months of 2017 up 5 from the year ago period Roche s stock has gained 7 2 year to date compared with industry s gain of 23 8 The company reports results under two divisions Pharmaceuticals
MRK,MRK:US,BBG000BPD168,Roche (RHHBY) Reports Sales Numbers for First 9 Months,2017-10-20 23:59:23 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8nW7N42diis/roche-rhhby-reports-sales-numbers-for-first-9-months-cm863000,Roche Holding AG s RHHBY reported sales of CHF39 4 billion in the first nine months of 2017 up 5 from the year ago period Roche s stock has gained 7 2 year to date compared with industry s gain of 23 8 The company reports results under two divisions Pharmaceuticals
MRK,MRK:US,BBG000BPD168,BioLineRx/Roche Scan BL-8040-Tecentriq for Gastric Cancer,2017-10-20 21:59:23 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/iR49lDtnymM/biolinerxroche-scan-bl-8040-tecentriq-for-gastric-cancer-cm862951,BioLineRx Ltd BLRX announced that its partner Genentech a member of Roche Holding AG RHHBY has initiated a phase Ib II study to evaluate its lead pipeline candidate BL 8040 in combination with Roche s Tecentriq atezolizumab for treating patients with gastric cancer Shares of
,,,BioLineRx/Roche Scan BL-8040-Tecentriq for Gastric Cancer,2017-10-20 21:59:23 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/iR49lDtnymM/biolinerxroche-scan-bl-8040-tecentriq-for-gastric-cancer-cm862951,BioLineRx Ltd BLRX announced that its partner Genentech a member of Roche Holding AG RHHBY has initiated a phase Ib II study to evaluate its lead pipeline candidate BL 8040 in combination with Roche s Tecentriq atezolizumab for treating patients with gastric cancer Shares of
,,,Merck to Shed Some U.S. Sales Reps to Cut Costs,2017-10-20 20:53:51 +0000,http://finance.yahoo.com/r/41908ceb-ee72-37dc-9b17-fc1b68b6dc4e/merck-to-lay-off-about-1-800-u-s-sales-reps-in-cost-cutting-move-1508532828?mod=yahoo_hs&yptr=yahoo&.tsrc=rss,Merck & Co. said it is laying off nearly 7% of its U.S. workforce in a reorganization the company says will cut costs and shift focus to products with growth potential.
MRK,MRK:US,BBG000BPD168,Merck to Shed Some U.S. Sales Reps to Cut Costs,2017-10-20 20:53:51 +0000,http://finance.yahoo.com/r/41908ceb-ee72-37dc-9b17-fc1b68b6dc4e/merck-to-lay-off-about-1-800-u-s-sales-reps-in-cost-cutting-move-1508532828?mod=yahoo_hs&yptr=yahoo&.tsrc=rss,Merck & Co. said it is laying off nearly 7% of its U.S. workforce in a reorganization the company says will cut costs and shift focus to products with growth potential.
